"DelayedWord","DelayedRT","Studied","StudyPosition","Block","PrimeCondition","Day1OutputPosition","PrimedRelated"
"SHOE",2489.74,"Studied",2,2,NA,"21",NA
"FINGER",1434.285,"Studied",19,3,NA,"16,20",NA
"DIRT",4039.9,"Studied",3,1,NA,"7",NA
"FIVE",2549.375,"Studied",5,1,NA,"36",NA
"BELOW",4316.065,"Studied",11,1,"Identical","6",NA
"WORLD",1132.48,"Studied",10,1,NA,"4",NA
"DEVIL",1282.8,"Studied",7,1,NA,"5",NA
"PHONE",2116.24,"Studied",12,3,NA,"16",NA
"DOLLAR",1116.19,"Studied",15,3,NA,NA,NA
"CORAL",1099.6,"Studied",14,3,NA,"18",NA
"MOTHER",6133.465,"Studied",5,2,NA,"25",NA
"BUCKET",3915.04,"Studied",3,2,NA,"23",NA
"BLEACH",1815.75,"Studied",4,2,NA,"24",NA
"SUPPER",1283.305,"Studied",1,2,NA,"22",NA
"",8001.565,NA,NA,NA,NA,NA,NA
"KIT",748.345,NA,NA,NA,NA,NA,NA
"GIRLS",7366.445,"Studied",10,3,NA,"22",NA
"MUSCLE",2331.97,"Studied",11,3,NA,"23",NA
"SHORT",2699.885,"Studied",9,3,NA,"21",NA
"",8001.47,NA,NA,NA,NA,NA,NA
"CANDLE",1448.455,"Studied",27,2,NA,"20",NA
"WAITER",1382.295,"Studied",24,2,NA,"17",NA
"SOAP",2849.07,"Studied",25,2,"Identical","19",NA
"FRIGHT",4266.92,"Studied",1,4,NA,"2",NA
"STAIRS",3018.045,"Studied",29,4,NA,"9",NA
"RIGHT",6383.065,"Studied",24,4,NA,"1",NA
"",8000.285,NA,NA,NA,NA,NA,NA
"",7999.9,NA,NA,NA,NA,NA,NA
"",8000.51,NA,NA,NA,NA,NA,NA
"INHALE",1165.49,"Studied",23,2,NA,"34",NA
"NOSE",882.945,"Studied",19,2,"Identical","33",NA
"FEEL",3482.895,NA,NA,NA,NA,NA,NA
"",8001.11,NA,NA,NA,NA,NA,NA
"WILD",1365.22,"Studied",17,2,"Identical","28",NA
"BRANCH",4483.73,"Studied",16,2,NA,"16,33",NA
"",7999.285,NA,NA,NA,NA,NA,NA
"SHOE",2648.825,"Studied",2,2,NA,"21",NA
"",8000.755,NA,NA,NA,NA,NA,NA
"",8000.09,NA,NA,NA,NA,NA,NA
"",8000.29,NA,NA,NA,NA,NA,NA
"LIMB",4685.665,NA,NA,NA,NA,NA,NA
"",8004.015,NA,NA,NA,NA,NA,NA
"",8000.53,NA,NA,NA,NA,NA,NA
"",7991.15,NA,NA,NA,NA,NA,NA
"",7999.905,NA,NA,NA,NA,NA,NA
"RECTANGLE",6499.055,NA,NA,NA,NA,NA,NA
"BLANK",5063.36,NA,NA,NA,NA,NA,NA
"WINTER",2387.55,"Studied",12,2,NA,"10",NA
"SLOW",1365.73,"Studied",13,2,NA,"12",NA
"PURPLE",1866.455,"Studied",15,2,NA,"13",NA
"CHAINS",2841.415,NA,NA,NA,NA,"9",NA
"SOME",1840.57,NA,NA,NA,NA,NA,NA
"MOST",3383.45,"Studied",14,2,NA,"11",NA
"",8001.17,NA,NA,NA,NA,NA,NA
"",8000.31,NA,NA,NA,NA,NA,NA
"",7991.76,NA,NA,NA,NA,NA,NA
"",8000.57,NA,NA,NA,NA,NA,NA
"",8000.06,NA,NA,NA,NA,NA,NA
"",8000.385,NA,NA,NA,NA,NA,NA
"",8000.245,NA,NA,NA,NA,NA,NA
"",8004.595,NA,NA,NA,NA,NA,NA
"",8000.03,NA,NA,NA,NA,NA,NA
"NOISE",1203.045,"Studied",12,1,NA,"24",NA
"",8000.975,NA,NA,NA,NA,NA,NA
"FISH",1121.555,"Studied",25,4,NA,"7",NA
"ORANGE",2449.53,"Studied",19,4,NA,"6",NA
"SHEETS",1572.795,"Studied",23,4,NA,"8",NA
"CHEAP",1957.24,NA,NA,NA,NA,NA,NA
"",8000.71,NA,NA,NA,NA,NA,NA
"",8011.835,NA,NA,NA,NA,NA,NA
"",8017.97,NA,NA,NA,NA,NA,NA
"",8003.1,NA,NA,NA,NA,NA,NA
"",7997.805,NA,NA,NA,NA,NA,NA
"",8009.58,NA,NA,NA,NA,NA,NA
"",8006.235,NA,NA,NA,NA,NA,NA
"",7995.99,NA,NA,NA,NA,NA,NA
"",8005.75,NA,NA,NA,NA,NA,NA
"",7995.925,NA,NA,NA,NA,NA,NA
"",7991.005,NA,NA,NA,NA,NA,NA
"",7998.455,NA,NA,NA,NA,NA,NA
"CAMPING",3802.05,NA,NA,NA,NA,"9",NA
"",7991.365,NA,NA,NA,NA,NA,NA
"",7993.925,NA,NA,NA,NA,NA,NA
"",7998.23,NA,NA,NA,NA,NA,NA
"",7999.92,NA,NA,NA,NA,NA,NA
"",8000.075,NA,NA,NA,NA,NA,NA
"",8004.235,NA,NA,NA,NA,NA,NA
"",7999.97,NA,NA,NA,NA,NA,NA
"HORN",4832.035,"Studied",18,4,NA,"17",NA
"HEAR",2356.235,NA,NA,NA,"Unrelated","15",NA
"WEST",3366.15,"Studied",20,4,"Identical","18",NA
"",8001.25,NA,NA,NA,NA,NA,NA
"",8000.61,NA,NA,NA,NA,NA,NA
"",7998.715,NA,NA,NA,NA,NA,NA
"",8014.25,NA,NA,NA,NA,NA,NA
"",7989.315,NA,NA,NA,NA,NA,NA
"",8002.075,NA,NA,NA,NA,NA,NA
"",7999.775,NA,NA,NA,NA,NA,NA
"",7185.77,NA,NA,NA,NA,NA,NA
