,Total_NoPrime,Total_Identical,Total_Related,Total_Unrelated,Correct_NoPrime,Correct_Identical,Correct_Related,Correct_Unrelated,Proportion_NoPrime,Proportion_Identical,Proportion_Related,Proportion_Unrelated,Proportion_Recognized_Threshold
1,4,55,58,51,4,53,42,29,1,0.963636364,0.724137931,0.568627451,0.975
2,4,56,51,57,4,55,45,52,1,0.982142857,0.882352941,0.912280702,0.825
3,4,64,45,55,3,54,23,27,0.75,0.84375,0.511111111,0.490909091,0.75
4,4,47,56,61,4,32,19,23,1,0.680851064,0.339285714,0.37704918,0.475
5,4,55,50,59,4,17,24,23,1,0.309090909,0.48,0.389830508,0.75
6,4,60,53,51,4,43,35,14,1,0.716666667,0.660377358,0.274509804,0.625
7,4,59,56,49,4,24,15,14,1,0.406779661,0.267857143,0.285714286,0.55
8,4,52,49,63,2,38,16,13,0.5,0.730769231,0.326530612,0.206349206,0.725
9,4,59,50,55,4,56,23,23,1,0.949152542,0.46,0.418181818,0.725
10,4,64,55,45,4,23,21,10,1,0.359375,0.381818182,0.222222222,0.775
11,4,59,54,51,4,32,9,7,1,0.542372881,0.166666667,0.137254902,0.8
12,4,54,52,58,4,35,30,26,1,0.648148148,0.576923077,0.448275862,0.8
13,4,43,56,65,3,27,23,27,0.75,0.627906977,0.410714286,0.415384615,0.25
14,4,59,49,56,4,37,7,6,1,0.627118644,0.142857143,0.107142857,0.625
15,4,62,59,43,4,29,16,8,1,0.467741935,0.271186441,0.186046512,0.425
16,4,43,54,67,3,37,25,19,0.75,0.860465116,0.462962963,0.28358209,0.8
17,4,64,40,60,4,39,13,14,1,0.609375,0.325,0.233333333,0.55
18,4,57,56,51,3,43,19,19,0.75,0.754385965,0.339285714,0.37254902,0.425
19,4,53,46,65,4,39,37,38,1,0.735849057,0.804347826,0.584615385,0.875
20,4,57,57,50,4,43,10,6,1,0.754385965,0.175438596,0.12,0.55
21,4,54,47,63,3,37,21,24,0.75,0.685185185,0.446808511,0.380952381,0.6
22,4,53,56,55,4,31,27,24,1,0.58490566,0.482142857,0.436363636,0.475
23,4,56,56,52,4,40,41,27,1,0.714285714,0.732142857,0.519230769,0.675
24,4,56,49,59,3,38,38,32,0.75,0.678571429,0.775510204,0.542372881,0.675
25,4,52,55,57,4,37,28,23,1,0.711538462,0.509090909,0.403508772,0.575
26,4,60,51,53,3,41,31,28,0.75,0.683333333,0.607843137,0.528301887,0.525
27,4,57,54,53,3,28,20,20,0.75,0.49122807,0.37037037,0.377358491,0.425
28,4,53,51,60,3,30,28,33,0.75,0.566037736,0.549019608,0.55,0.7
29,4,49,56,59,4,20,24,13,1,0.408163265,0.428571429,0.220338983,0.8
30,4,48,61,55,4,35,30,25,1,0.729166667,0.491803279,0.454545455,0.625
31,4,62,55,47,4,31,4,1,1,0.5,0.072727273,0.021276596,0.775
32,4,43,61,60,4,34,28,23,1,0.790697674,0.459016393,0.383333333,0.625
33,4,56,57,51,3,33,2,1,0.75,0.589285714,0.035087719,0.019607843,0.625
34,4,47,53,64,2,16,16,21,0.5,0.340425532,0.301886792,0.328125,0.925
35,4,49,55,60,4,39,28,20,1,0.795918367,0.509090909,0.333333333,0.75
36,4,48,56,60,4,24,15,21,1,0.5,0.267857143,0.35,0.825
37,4,67,44,53,3,16,15,9,0.75,0.23880597,0.340909091,0.169811321,0.35
38,4,56,41,67,4,49,32,35,1,0.875,0.780487805,0.52238806,0.7
39,4,36,57,71,4,22,42,39,1,0.611111111,0.736842105,0.549295775,0.45
40,4,54,52,58,4,7,6,8,1,0.12962963,0.115384615,0.137931034,0.525
41,4,67,39,58,4,50,12,16,1,0.746268657,0.307692308,0.275862069,0.65
42,4,49,49,66,4,35,32,25,1,0.714285714,0.653061224,0.378787879,0.475
43,4,52,44,68,4,33,27,33,1,0.634615385,0.613636364,0.485294118,0.45
44,4,50,48,66,2,29,21,25,0.5,0.58,0.4375,0.378787879,0.55
45,4,53,55,56,3,35,18,14,0.75,0.660377358,0.327272727,0.25,0.675
46,4,53,58,53,3,23,13,15,0.75,0.433962264,0.224137931,0.283018868,0.675
47,4,63,47,54,4,52,30,19,1,0.825396825,0.638297872,0.351851852,0.7
48,4,43,53,68,4,2,3,3,1,0.046511628,0.056603774,0.044117647,0.65
49,4,55,55,54,4,46,44,21,1,0.836363636,0.8,0.388888889,0.75
50,4,48,56,60,3,19,17,19,0.75,0.395833333,0.303571429,0.316666667,0.65
51,4,54,56,54,2,36,24,24,0.5,0.666666667,0.428571429,0.444444444,0.825
52,4,55,47,62,2,26,17,25,0.5,0.472727273,0.361702128,0.403225806,0.625
53,4,70,46,48,3,48,6,5,0.75,0.685714286,0.130434783,0.104166667,0.575
54,4,49,66,49,4,10,11,8,1,0.204081633,0.166666667,0.163265306,0.575
55,4,43,54,67,4,32,39,34,1,0.744186047,0.722222222,0.507462687,0.325
56,4,35,53,76,4,24,41,47,1,0.685714286,0.773584906,0.618421053,0.4
57,4,66,49,49,4,34,6,10,1,0.515151515,0.12244898,0.204081633,0.6
58,4,60,63,41,4,35,20,10,1,0.583333333,0.317460317,0.243902439,0.825
59,4,53,52,59,4,30,40,25,1,0.566037736,0.769230769,0.423728814,0.75
60,4,65,49,50,4,14,10,10,1,0.215384615,0.204081633,0.2,0.65
61,4,42,61,61,4,28,44,33,1,0.666666667,0.721311475,0.540983607,0.875
62,4,59,46,59,4,27,26,26,1,0.457627119,0.565217391,0.440677966,0.85
63,4,54,47,63,3,44,27,26,0.75,0.814814815,0.574468085,0.412698413,0.775
64,4,53,62,49,4,28,6,6,1,0.528301887,0.096774194,0.12244898,0.775
65,4,57,50,57,4,35,20,22,1,0.614035088,0.4,0.385964912,0.75
66,4,46,58,60,4,31,33,26,1,0.673913043,0.568965517,0.433333333,0.45
Mean,4,54.12121212,52.66666667,57.21212121,3.606060606,32.87878788,22.95454545,20.48484848,0.901515152,0.608503399,0.439490316,0.349454793,0.647727273
